index,category,name,status,filepath
1,applications,01-to-do-app.md,⬜,challenges/applications/details/01-to-do-app.md
2,applications,02-notes-app.md,⬜,challenges/applications/details/02-notes-app.md
3,applications,03-weather-dashboard.md,⬜,challenges/applications/details/03-weather-dashboard.md
4,applications,04-budget-tracker.md,⬜,challenges/applications/details/04-budget-tracker.md
5,applications,05-visual-calculator.md,⬜,challenges/applications/details/05-visual-calculator.md
6,applications,06-markdown-viewer.md,⬜,challenges/applications/details/06-markdown-viewer.md
7,applications,07-file-explorer.md,⬜,challenges/applications/details/07-file-explorer.md
8,applications,08-text-editor.md,⬜,challenges/applications/details/08-text-editor.md
9,applications,09-rss-reader.md,⬜,challenges/applications/details/09-rss-reader.md
10,applications,10-chat-app.md,⬜,challenges/applications/details/10-chat-app.md
11,applications,11-file-transfer-app.md,⬜,challenges/applications/details/11-file-transfer-app.md
12,applications,12-reference-image-board.md,⬜,challenges/applications/details/12-reference-image-board.md
13,applications,13-habit-tracker.md,⬜,challenges/applications/details/13-habit-tracker.md
14,applications,14-daily-journal-app.md,⬜,challenges/applications/details/14-daily-journal-app.md
15,applications,15-pomodoro-timer.md,⬜,challenges/applications/details/15-pomodoro-timer.md
16,applications,16-kanban-board.md,⬜,challenges/applications/details/16-kanban-board.md
17,applications,17-flashcard-study-app.md,⬜,challenges/applications/details/17-flashcard-study-app.md
18,applications,18-expense-splitter.md,⬜,challenges/applications/details/18-expense-splitter.md
19,applications,19-recipe-book-app.md,⬜,challenges/applications/details/19-recipe-book-app.md
20,applications,20-workout-logger.md,⬜,challenges/applications/details/20-workout-logger.md
21,applications,21-habit-chain-visualizer.md,⬜,challenges/applications/details/21-habit-chain-visualizer.md
22,applications,22-image-metadata-viewer.md,⬜,challenges/applications/details/22-image-metadata-viewer.md
23,applications,23-audio-recorder.md,⬜,challenges/applications/details/23-audio-recorder.md
24,applications,24-clipboard-manager.md,⬜,challenges/applications/details/24-clipboard-manager.md
25,applications,25-code-snippet-organizer.md,⬜,challenges/applications/details/25-code-snippet-organizer.md
26,applications,26-font-viewer.md,⬜,challenges/applications/details/26-font-viewer.md
27,applications,27-qr-code-generator.md,⬜,challenges/applications/details/27-qr-code-generator.md
28,applications,28-qr-code-reader.md,⬜,challenges/applications/details/28-qr-code-reader.md
